kurum_id,kurum_adi,kurum_tipi,il_kodu,il_adi,ilce_adi,adres,telefon,koordinat_lat,koordinat_lon,web_sitesi,veri_kaynagi,son_guncelleme
,T.C. Sağlık Bakanlığı Tavas Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Tavas,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çal Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Çal,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çivril Şehit Hilmi Öz Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Çi̇vri̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Buldan Göğüs Hastalıkları Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Buldan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Acıpayam Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Acipayam,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Denizli Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Merkezefendi̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çameli İlçe Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Çameli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Honaz İlçe Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Honaz,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Denizli Servergazi Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Merkezefendi̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Denizli Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,20,Deni̇zli̇,Merkezefendi̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Serinhisar İlçe Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Seri̇nhi̇sar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Güney İlçe Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Güney,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çardak İlçe Devlet Hastanesi,Devlet Hastanesi,20,Deni̇zli̇,Çardak,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Diyarbakır Gazi Yaşargil Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,21,Di̇yarbakir,Yeni̇şehi̇r,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Silvan Dr.Yusuf Azizoğlu Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Si̇lvan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Bismil Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Bi̇smi̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Diyarbakır Selahaddin Eyyubi Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Yeni̇şehi̇r,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Diyarbakır Çocuk Hastalıkları Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Yeni̇şehi̇r,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Ergani Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Ergani̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Diyarbakır Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,21,Di̇yarbakir,Kayapinar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Diyarbakır Dağ Kapı Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Yeni̇şehi̇r,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çermik Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Çermi̇k,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çınar İlçe Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Çinar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Dicle Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Di̇cle,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Hani İlçe Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Hani̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Eğil İlçe Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Eği̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Lice Halis Toprak Vakfı Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Li̇ce,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kulp Dr. Abdullah Biroğul İlçe Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Kulp,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Hazro İlçe Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Hazro,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kocaköy İlçe Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Kocaköy,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çüngüş İlçe Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Çüngüş,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Bismil Tepe İlçe Devlet Hastanesi,Devlet Hastanesi,21,Di̇yarbakir,Bi̇smi̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Düzce Atatürk Devlet Hastanesi,Devlet Hastanesi,81,Düzce,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Akçakoca Devlet Hastanesi,Devlet Hastanesi,81,Düzce,Akçakoca,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kaynaşlı İlçe Devlet Hastanesi,Devlet Hastanesi,81,Düzce,Kaynaşli,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gümüşova İlçe Devlet Hastanesi,Devlet Hastanesi,81,Düzce,Gümüşova,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gölyaka İlçe Devlet Hastanesi,Devlet Hastanesi,81,Düzce,Gölyaka,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çilimli İlçe Devlet Hastanesi,Devlet Hastanesi,81,Düzce,Çi̇li̇mli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Yığılca İlçe Devlet Hastanesi,Devlet Hastanesi,81,Düzce,Yiğilca,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Edirne Sultan 1. Murat Devlet Hastanesi,Devlet Hastanesi,22,Edi̇rne,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Uzunköprü Devlet Hastanesi,Devlet Hastanesi,22,Edi̇rne,Uzunköprü,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Keşan Devlet Hastanesi,Devlet Hastanesi,22,Edi̇rne,Keşan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı İpsala Devlet Hastanesi,Devlet Hastanesi,22,Edi̇rne,İpsala,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Enez İlçe Devlet Hastanesi,Devlet Hastanesi,22,Edi̇rne,Enez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Süloğlu İlçe Devlet Hastanesi,Devlet Hastanesi,22,Edi̇rne,Süloğlu,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Meriç İlçe Devlet Hastanesi,Devlet Hastanesi,22,Edi̇rne,Meri̇ç,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Lalapaşa İlçe Devlet Hastanesi,Devlet Hastanesi,22,Edi̇rne,Lalapaşa,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Elazığ Fethi Sekin Şehir Hastanesi,Devlet Hastanesi,23,Elaziğ,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Elazığ Ruh Sağlığı ve Hastalıkları Hastanesi,Devlet Hastanesi,23,Elaziğ,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Palu İlçe Devlet Hastanesi,Devlet Hastanesi,23,Elaziğ,Palu,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Karakoçan Devlet Hastanesi,Devlet Hastanesi,23,Elaziğ,Karakoçan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kovancılar Devlet Hastanesi,Devlet Hastanesi,23,Elaziğ,Kovancilar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Maden Şehit Cengiz Erdur İlçe Devlet Hastanesi,Devlet Hastanesi,23,Elaziğ,Maden,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Arıcak İlçe Devlet Hastanesi,Devlet Hastanesi,23,Elaziğ,Aricak,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Elazığ Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,23,Elaziğ,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Baskil İlçe Devlet Hastanesi,Devlet Hastanesi,23,Elaziğ,Baski̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Erzincan Mengücek Gazi Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,24,Erzi̇ncan,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Erzincan Ağız ve Diş Sağlığı Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,24,Erzi̇ncan,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Tercan İlçe Devlet Hastanesi,Devlet Hastanesi,24,Erzi̇ncan,Tercan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Refahiye Dr. Fahrettin Uğur İlçe Devlet Hastanesi,Devlet Hastanesi,24,Erzi̇ncan,Refahi̇ye,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Üzümlü İlçe Devlet Hastanesi,Devlet Hastanesi,24,Erzi̇ncan,Üzümlü,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çayırlı İlçe Devlet Hastanesi,Devlet Hastanesi,24,Erzi̇ncan,Çayirli,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kemah İlçe Devlet Hastanesi,Devlet Hastanesi,24,Erzi̇ncan,Kemah,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı İliç İlçe Devlet Hastanesi,Devlet Hastanesi,24,Erzi̇ncan,İli̇ç,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Otlukbeli İlçe Devlet Hastanesi,Devlet Hastanesi,24,Erzi̇ncan,Otlukbeli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kemaliye İlçe Devlet Hastanesi,Devlet Hastanesi,24,Erzi̇ncan,Kemali̇ye,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Erzurum Bölge Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,25,Erzurum,Yakuti̇ye,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Pasinler İbrahim Hakkı Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Pasi̇nler,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Oltu Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Oltu,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı İspir Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,İspi̇r,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Hınıs Şehit Yavuz Yürekseven Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Hinis,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Horasan Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Horasan,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çat İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Çat,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Karaçoban İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Karaçoban,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Aşkale İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Aşkale,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Tortum İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Tortum,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Karayazı Türk Eczacıları Birliği İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Karayazi,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Tekman Şehit Piyade Çavuş Muhammet Binici Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Tekman,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C.Sağlık Bakanlığı Erzurum Mareşal Çakmak Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Palandöken,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Narman İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Narman,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Şenkaya İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Şenkaya,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Köprüköy İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Köprüköy,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Uzundere Şehit İhsan Erdoğan İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Uzundere,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Olur İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Olur,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Pazaryolu Hasan Basri Demirbağ İlçe Devlet Hastanesi,Devlet Hastanesi,25,Erzurum,Pazaryolu,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Sivrihisar Devlet Hastanesi,Devlet Hastanesi,26,Eski̇şehi̇r,Si̇vri̇hi̇sar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çifteler Devlet Hastanesi,Devlet Hastanesi,26,Eski̇şehi̇r,Çi̇fteler,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Eskişehir Yunus Emre Devlet Hastanesi,Devlet Hastanesi,26,Eski̇şehi̇r,Tepebaşi,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Eskişehir Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,26,Eski̇şehi̇r,Odunpazari,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Eskişehir Şehir Hastanesi,Devlet Hastanesi,26,Eski̇şehi̇r,Odunpazari,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Mihalıççık Gün Sazak İlçe Devlet Hastanesi,Devlet Hastanesi,26,Eski̇şehi̇r,Mi̇haliççik,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Mahmudiye İlçe Devlet Hastanesi,Devlet Hastanesi,26,Eski̇şehi̇r,Mahmudi̇ye,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Alpu İlçe Devlet Hastanesi,Devlet Hastanesi,26,Eski̇şehi̇r,Alpu,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Günyüzü Şehit Melih Özcan İlçe Devlet Hastanesi,Devlet Hastanesi,26,Eski̇şehi̇r,Günyüzü,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Beylikova İlçe Devlet Hastanesi,Devlet Hastanesi,26,Eski̇şehi̇r,Beyli̇kova,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Nizip Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Ni̇zi̇p,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı İslahiye Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,İslahi̇ye,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Karkamış Şehit Fuat Oğuzcan İlçe Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Karkamiş,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Yavuzeli İlçe Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Yavuzeli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gaziantep 25 Aralık Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Şehi̇tkami̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Oğuzeli İlçe Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Oğuzeli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Araban İlçe Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Araban,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Nurdağı İlçe Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Nurdaği,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gaziantep Şehitkamil Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Şehi̇tkami̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Şahinbey Ağız ve Diş Sağlığı Hastanesi,Ağız ve Diş Sağlığı Merkezi,27,Gazi̇antep,Şahi̇nbey,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gaziantep Abdulkadir Yüksel Devlet Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Şahi̇nbey,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gaziantep Cengiz Gökçek Kadın Doğum ve Çocuk Hastalıkları Hastanesi,Devlet Hastanesi,27,Gazi̇antep,Şehi̇tkami̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gaziantep Dr. Ersin Arslan Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,27,Gazi̇antep,Şahi̇nbey,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Giresun Prof. Dr. A. İlhan Özdemir Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Giresun Kadın Doğum ve Çocuk Hastalıkları Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,28,Gi̇resun,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Giresun Eğitim ve Araştırma Hastanesi,Eğitim ve Araştırma Hastanesi,28,Gi̇resun,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Giresun Dr. Ali Menekşe Göğüs Hastalıkları Hastanesi,Devlet Hastanesi,28,Gi̇resun,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Giresun Fizik Tedavi ve Rehabilitasyon Merkezi,Devlet Hastanesi,28,Gi̇resun,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Şebinkarahisar Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Şebi̇nkarahi̇sar,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Tirebolu Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Ti̇rebolu,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Espiye Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Espi̇ye,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Görele Op. Dr. Ergun Özdemir Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Görele,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Bulancak Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Bulancak,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Yağlıdere İlçe Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Yağlidere,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Alucra İlçe Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Alucra,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Dereli İlçe Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Dereli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Eynesil İlçe Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Eynesi̇l,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Çamoluk İlçe Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Çamoluk,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Güce İlçe Devlet Hastanesi,Devlet Hastanesi,28,Gi̇resun,Güce,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Gümüşhane Devlet Hastanesi,Devlet Hastanesi,29,Gümüşhane,Merkez,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Şiran Devlet Hastanesi,Devlet Hastanesi,29,Gümüşhane,Şi̇ran,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kelkit Devlet Hastanesi,Devlet Hastanesi,29,Gümüşhane,Kelki̇t,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Kürtün İlçe Devlet Hastanesi,Devlet Hastanesi,29,Gümüşhane,Kürtün,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Torul İlçe Devlet Hastanesi,Devlet Hastanesi,29,Gümüşhane,Torul,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Köse İlçe Devlet Hastanesi,Devlet Hastanesi,29,Gümüşhane,Köse,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Şemdinli Devlet Hastanesi,Devlet Hastanesi,0,Hakkari̇,Şemdi̇nli̇,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
,T.C. Sağlık Bakanlığı Yüksekova Devlet Hastanesi,Devlet Hastanesi,0,Hakkari̇,Yüksekova,,,,,,Sağlık Bakanlığı Resmi Excel Listesi,2025-07-11
